f1 secant	Absolute Error	Relative Error	f1 Secant 	f1 Secant 	f1 Bisection	Absolute Error	Relative Error	f1 Bisection	f1 Bisection	f1 Newtons	Absolute Error	Relative Error	f1 Newtons	f1 Newtons	f2 Secant	Absolute Error	Relative Error	f2 Secant	f2 Secant	f2 Bisection	Absolute Error	Relative Error	f2 Bisection	f2 Bisection	f2 Newtons	Absolute Error	Relative Error	f2 Newton	f2 Newton
					2.2361	0	0	#DIV/0!	0						0.40004	1.83606	0.821099235	2.02176E-05	2.18731E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40002	1.83608	0.821108179	1.01088E-05	1.09364E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40001	1.83609	0.821112651	0	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40001	1.83609	0.821112651	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.40001	1.83609	0.821112651	#DIV/0!	1.09364E-05	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	0	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	0	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	#DIV/0!	0	7	4.7639	2.130450338	#DIV/0!	0	0.4	1.8361	0.821117124	#DIV/0!	0
					2.2361	0	0	#DIV/0!	0						0.4	1.8361	0.821117124	0	0	7	4.7639	2.130450338	#DIV/0!	2.455520693	0.4	1.8361	0.821117124	#DIV/0!	2.008016231
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	0	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	0	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	0										
															0.4	1.8361	0.821117124	#DIV/0!	2.008016231										
